# Livox official MID-360 scan trajectory, uniformly sampled to 2400 rays.
# Source: https://github.com/Livox-SDK/livox_laser_simulation/blob/master/scan_mode/mid360.csv
# Columns retain the official format: Time/s,Azimuth/deg,Zenith/deg.
# The native plugin reads the directions; point timestamps come from the actual
# Gazebo raycast-request time of each acquisition batch.
Time/s,Azimuth/deg,Zenith/deg
1,268.99,37.838
335,163.77,42.075
668,63.234,39.953
1002,313.73,43.761
1335,207.15,46.995
1669,99.03,52.022
2002,353.27,50.709
2336,243.37,55.678
2669,137.97,58.207
3003,30.843,58.007
3336,279.32,62.835
3670,171.99,62.973
4003,63.448,64.099
4337,311.69,64.328
4670,204.01,68.465
5004,95.356,68.203
5337,340.67,70.427
5671,232.44,74.139
6004,123.4,73.449
6337,9.6985,76.853
6671,262.33,80.1097
7004,150.61,79.461
7338,40.11,83.6334
7671,290.49,86.3023
8005,180.78,88.7273
8338,66.512,89.82218
8672,317.12,93.423
9005,204.54,91.9025
9339,90.411,92.2747
9672,340.3,95.3079
10006,225.23,93.4398
10339,112.24,93.0709
10673,356.81,93.8501
11006,247.34,91.4004
11340,133.49,89.8776
11673,20.184,91.4682
12006,271.11,86.9164
12340,157.56,86.26
12673,46.968,86.2786
13007,298.66,82.2764
13340,185,81.4623
13674,76.672,78.724
14007,327.78,76.163
14341,217.2,72.252
14674,107.06,73.011
15008,359.81,69.741
15341,245.57,66.62
15675,135.89,66.788
16008,29.498,63.202
16342,276.91,62.322
16675,168.04,61.021
17009,60.107,61.115
17342,309.85,55.783
17676,201.89,55.685
18009,97.417,54.287
18342,346.71,49.089
18676,242.22,50.186
19009,138,47.214
19343,30.245,42.767
19676,286.51,46.279
20010,180.54,42.235
20343,75.729,41.188
20677,327.46,41.005
21010,225.6,44.074
21344,119.68,43.135
21677,8.0921,48.76
22011,263.54,52.103
22344,155.72,51.636
22678,46.842,56.369
23011,299.68,59.077
23345,193.53,60.937
23678,80.628,63.288
24011,333.19,65.238
24345,226.09,65.941
24678,112.99,69.195
25012,7.0937,71.209
25345,255.86,70.573
25679,143.32,73.215
26012,37.492,75.662
26346,283.28,76.92
26679,172.24,79.075
27013,59.58,82.7377
27346,310.88,82.7396
27680,197.98,85.1537
28013,87.999,89.76804
28347,337.99,89.916285
28680,223.99,92.0708
29014,112.95,93.1882
29347,1.4477,93.4327
29680,247.8,96.6145
30014,135.52,94.8508
30347,23.468,93.4716
30681,269.32,90.46664
31014,158.08,92.4404
31348,47.161,88.4952
31681,291.57,87.5576
32015,180.71,88.0668
32348,71.021,83.278
32682,317.83,83.6446
33015,207.6,82.5221
33349,98.162,81.6687
33682,345.82,78.212
34016,236.61,78.342
34349,129,75.125
34683,17.385,71.92
35016,268.85,72.65
35350,157.77,68.769
35683,47.591,66.229
36016,301.63,66.404
36350,189.04,62.544
36683,78.845,59.999
37017,325.84,58.039
37350,221.65,55.409
